무녀를 불러 굿을 해요,We call a shaman to perform a ritual.
주먹을 질끈 쥐었어,I clenched my fists tightly.
오늘 저녁때 뭐 먹을까?,What shall we eat this evening?
눈치를 힐끔 살펴요,I take quick glances to read the room.
고구마 한 무더기,a pile of sweet potatoes
천안에 기쁜 빛을 띠었어,Cheonan took on a joyful glow.
이 펜은 잘 써져요,This pen writes well.
우승에는 턱없는 실력,skills nowhere near enough for a championship
사고로 눈이 멀었습니다,He went blind due to an accident.
인간의 본성은 선했어요,Human nature was good.
미래에 대한 예측,a prediction about the future
다급한 상황에 직면합니다,We are faced with an urgent situation.
예외 없는 법은 없었어요,There was no rule without exceptions.
온도 변화를 감지해요,It detects temperature changes.
좋아하던 국수가 싫어졌어요,I came to dislike the noodles I used to like.
심화에 병은 날로 깊어 가,As it intensifies the illness deepens day by day.
약을 장기간 복용했습니다,I took the medicine for a long time.
전통문화에 대한 자부심을 가졌어요,I took pride in traditional culture.
단어 사용이 올바라요,The word usage is correct.
운동을 일과로 삼아,I make exercise part of my daily routine.
서구 문화의 이식,the transplantation of Western culture
적의 허점을 짚어요,We pinpoint the enemy's weak spot.
화풀이로 술을 마셨어요,I drank to vent my anger.
그자 이야긴 꺼내지도 마라,Don't even bring up that guy.
막차 시간이 임박합니다,The last train time is approaching.
어머나 기가 막혀,Oh my that's unbelievable.
장사는 이익이 남아야 합니다,A business has to make a profit.
민속 음악을 연주했습니다,We performed folk music.
요란한 박수 소리,loud applause
나직하게 떠 있는 구름,clouds floating low
노동자들은 처우 개선을 요구해,The workers demand better treatment.
이런저런 상념에 사로잡혔어,I got caught up in all sorts of thoughts.
그는 이웃과 친근하게 지내오고 있어,He has been getting along warmly with his neighbors.
도발 위협이 고조돼요,The threat of provocation is escalating.
비가 오니 나가기가 싫었습니다,Because it was raining I didn't want to go out.
저소득층 지원 정책,a support policy for low-income households
건축 경기의 후퇴,a downturn in the construction market
방바닥에 털썩 주저앉습니다,I plop down on the floor.
그의 승용차는 최고급이었어,His car was top-of-the-line.
유전자 감식을 의뢰해요,We request DNA analysis.
경찰이 달아나는 범인을 뒤쫓았습니다,The police chased the fleeing suspect.
목숨을 건 치열한 싸움,a fierce fight risking one's life
돈을 척척 내놓았습니다,I promptly handed over the money.
고걸 이리 좀 다오,Bring that here please.
알몸으로 물속에 뛰어들어,I jump into the water naked.
낫이 무뎌져서 잘 들지 않았습니다,The sickle had become dull and didn't cut well.
수정과로 칼칼한 목을 축였어요,I quenched my scratchy throat with sujeonggwa.
틀리기 쉬운 문제,a problem easy to get wrong
차기 총장 후보자,a candidate for the next president
으음 그렇게 하지,Hmm let's do that.
자판기에서 커피를 뽑았습니다,I got coffee from the vending machine.
신문에 광고가 나요,An ad appears in the newspaper.
수도권 소재 대학,a university in the capital region
그 아이는 유모의 손에서 자라고 있어,That child is growing up in a nanny's care.
몇 마지기의 땅을 사서 자작했어,I bought a few majigi of land and farmed it myself.
손님이 부쩍 늘어요,Customers are increasing noticeably.
종이를 발기발기 찢어,I tear the paper into shreds.
수입에 대한 규제,regulations on imports
돈벌이에만 급급한 사람들,people obsessed only with making money
약속 장소에 이르러요,I arrive at the meeting place.
그 영화는 참 재미있어요,That movie is really fun.
화로에 불이 켜져요,The fire in the brazier lights up.
그것은 댁의 사정이오,That's your own situation.
물건을 서랍에 넣어,I put the item in the drawer.
양반 행세를 합니다,I act like a nobleman.
세상을 둥글게 살았어,I lived with a broad mind.
옷이 작아 갑갑해,The clothes are small and feel tight.
세계 기록을 경신해,I break the world record.
기둥서방 노릇을 했어요,I played the role of a kept man.
수강 신청 철회 기간,course registration withdrawal period
흰 티를 입은 소년,a boy wearing a white T-shirt
피고인이 보석을 신청했어요,The defendant applied for bail.
전신주에 이마를 찧습니다,I bump my forehead on a utility pole.
하루빨리 그녀를 만나고 싶었어,I wanted to meet her as soon as possible.
그 경기는 박진감이 넘쳐요,That game is full of excitement.
요즘 근황이 어떠십니까?,How have you been lately?
관찰 범위를 좁혔어,I narrowed the observation range.
조선 왕조의 창업,the founding of the Joseon dynasty
반도체 산업을 육성했습니다,We fostered the semiconductor industry.
하루를 온전히 쉬었습니다,I rested for a full day.
환자를 들것으로 옮겼어요,I moved the patient on a stretcher.
길가에 전봇대를 세워,I put up a utility pole by the roadside.
이 우산 주인 없습니까?,Does this umbrella belong to anyone?
네가 와 주길 바라,I hope you come to visit.
그의 출생지는 전주예요,His birthplace is Jeonju.
하늘이 먹구름으로 뒤덮여 있습니다,The sky is covered with dark clouds.
적군의 공격은 허세에 불과했어,The enemy's attack was nothing but a bluff.
하루 종일 이곳저곳을 돌아다녀,I wander around here and there all day.
먼 길을 달려왔어요,I ran a long way to get here.
그새 별일 없었지?,Nothing happened in the meantime right?
첫닭이 홰를 치는 무렵,around the time the first rooster crows
커튼이 늘어진 방,a room with curtains hanging down
마음의 안정을 잃었어,I lost my peace of mind.
무조건이라는 단서를 붙여,I add the condition that it's unconditional.
닭찜을 합에 담아요,I put the braised chicken in a container.
끊임없이 불평을 늘어놓습니다,I constantly complain.
응접실이 넓고 환했어,The reception room was spacious and bright.
너부터 먼저 먹어라,You eat first.
앞일을 생각하니 캄캄해요,Thinking about the future feels bleak.
국제 대회 정상 등극,reaching the top in an international competition
동네를 한 바퀴 돌아,I take a lap around the neighborhood.
궁전이 무색할 정도의 큰 저택,a mansion so large it makes a palace look small
사고의 재발을 방지했습니다,We prevented the accident from happening again.
철망 속에 갇힌 원숭이,a monkey trapped in a wire cage
무럭무럭 크는 아이들,children growing fast
망국의 한을 읊은 시,a poem lamenting the sorrow of a fallen nation
흥분의 도가니로 몰아넣어요,I whip them into a frenzy of excitement.
착용감이 편한 옷,clothes that are comfortable to wear
말씀이 너무 번거로워요,What you're saying is too much trouble.
손님에게 소홀하게 대접해,I treat the guest carelessly.
그의 다리는 길쭉하니 늘씬했어,His legs were long and slender.
